,MJD,COM Flux,Residual Flux
0,59106.16176227147,473.8697729773317,57.92010113625361
1,59106.16870670963,464.5460601080185,49.01202128233268
2,59089.772656290574,447.2816714875796,24.871067559729056
3,59106.19648446178,446.9694134270344,33.21261497086334
4,59092.182432542446,446.9157191023333,25.566912527713555
5,59106.02287348972,446.6160545144105,24.991691837346934
6,59105.98120684867,445.0111524939885,22.731329439630258
7,59089.800434754725,445.00116596532735,22.586273161271663
8,59089.77960090661,444.91113797639537,22.478324736173704
9,59106.03676236929,444.61388361524286,23.31890024478861
10,59092.19632171352,444.1245138911771,23.151503603479455
11,59105.96037352722,444.0544340325383,21.635881542065306
12,59105.97426240866,443.9067993436555,21.56667115748246
13,59092.210210884594,443.6417352692034,23.09879140148712
14,59089.724043974114,443.6321272888801,21.770217609230656
15,59105.98815128916,443.5803339455034,21.374850970434863
16,59089.869880908125,443.4061050510117,21.962811458846375
17,59105.995095729646,443.28455704602777,21.167422541641088
18,59092.18937712775,443.1412803758685,21.973552789834287
19,59106.02981792974,443.1407746208194,21.67422937509781
20,59106.05065124887,443.0182909068133,22.10741466560023
21,59089.79349013916,442.7839581446575,20.349000084151328
22,59089.76571167407,442.58362270695983,20.20931046252906
23,59106.015929049696,442.45343481512754,20.685055532321712
24,59105.946484645785,442.0621819274695,19.62153808664931
25,59089.87682552276,441.7449957903628,20.475192923812926
26,59089.92543782293,441.5066490065368,21.830094900658082
27,59089.85599167838,441.4950129270999,19.746005464244774
28,59089.83515783259,441.4824743538471,19.378846988573457
29,59089.82821321748,441.4159151732272,19.221975276864555
30,59089.74487782456,441.2569733959526,19.075875667278524
31,59089.71709935668,441.007202527356,19.279517289166336
32,59089.88377013741,440.9436179577487,19.86098068936684
33,59106.00898460968,440.692699339822,18.79415571673752
34,59106.252039962375,440.6813170106032,30.995160523924028
35,59089.89071475159,440.59167607983073,19.70981241297278
36,59092.2171554699,440.5762693421881,20.268520977959383
37,59105.95342908674,440.389582852086,17.952939207864006
38,59089.807379370766,440.37303859656754,17.99229494992744
39,59105.9256513234,440.1878927349227,17.819783176082865
40,59089.89765936622,440.1580513256804,19.49049757393459
41,59089.9046039804,440.14838948499096,19.70860538373273
42,59106.04370680931,440.043612003424,18.933873697911963
