,Unnamed: 0,Num,Name,Mv(mean),Class,Number of Points,Num Matches,a,e,i,H,Mean COM Flux,STD COM Flux,Mean COM Flux Error,Mean COM Flux Error STD,SNR,Best Period [Seconds],Best Period [Hours],Best Period [Days],False Alarm Probability,Model Parameters,Max Periodogram Power,Mag Vary
10,20, 100010 ,1988 RN12,16.907, MB>Middle ,3034,4,2.757062380024589,0.2661989014221551,16.91374337549621,14.73,24.8394284117212,8.14082020325938,3.2535692773977543,1.7656410020453683,7.634516524445451,1056989.418451198,293.6081717919995,12.233673824666646,5.028474731321473e-92,[-0.08121303  3.5350794  -2.26418087],0.1354095144227463,0.37178593104558816
11,22, 5123 ,1989 BL,17.264, Trojan ,2712,2,5.230771775953809,0.1020429289481874,8.525336919845952,10.13,23.87387260996685,5.722940638691133,2.4235306419358174,1.5573740812075267,9.850864765999976,17805.039263125287,4.945844239757024,0.2060768433232093,7.237028129570415e-94,[-0.01360189 -0.09034934 -3.16373129],0.1528138648899968,0.28974860856185103
12,31, 8654 ,1990 KC1,17.47, MB>Middle ,2608,0,2.56754362791408,0.0915941550740566,14.46405657962083,13.44,18.50775254053486,6.828414524571238,2.365906326992405,1.5108129049828165,7.822690327753737,12488.250932997178,3.468958592499216,0.144539941354134,3.692447609034462e-192,[0.02770352 5.19054991 0.74177195],0.2928611949904751,0.6314812791122086
13,32, 46552 ,1990 RM1,17.086, MB>Middle ,889,2,2.638973355538178,0.1930981439147314,13.16426115288857,14.69,24.705936959021216,4.35796059112961,3.4560746539717297,1.4913244088826756,7.148554193014636,37406.90963055326,10.390808230709238,0.4329503429462182,3.480425575631204e-47,[ 0.00968518 -1.27701296 -2.6746394 ],0.2296621408318324,0.26165833403903305
14,36, 27750 ,1991 CW2,17.518, MB>Inner ,2666,0,2.483770421040642,0.1283097314308856,8.032595788987464,14.24,15.6326864626126,5.247436290301407,1.8868190546647507,1.0860146636124135,8.285207012280363,696872.5499368795,193.5757083157999,8.065654513158329,4.886983302029465e-61,[-0.21460366 -0.68200678  2.31036923],0.1057520017553202,0.34207331287326914
15,37, 10328 ,1991 GC1,17.446, MB>Middle ,2127,0,2.536929272602503,0.2047921500114264,13.81932658537452,14.19,17.726839987943325,5.293657916122454,2.3318790058786054,1.3194963847515866,7.601955308682153,27622.570690937137,7.672936303038093,0.3197056792932539,2.762791804724263e-100,[ 0.01573796 -3.31762179 -0.31869535],0.2017204927764662,0.4128059772534243
16,39, 90717 ,1991 PF3,17.823, MB>Middle ,3174,0,2.564099292244671,0.094282471663894,9.772310764234788,14.89,12.881029707638438,6.142556064994842,1.4491898534810714,1.0652222688725872,8.888434925691179,317875.7350410692,88.2988152891859,3.679117303716079,4.398510338307037e-184,[-0.0225909   2.05275253 -3.75568391],0.2389209951972944,0.7514174427728605
17,43, 20020 ,1991 VT,15.926, MB>Middle ,3182,58,2.601154277488545,0.1906960808996679,15.56935787836429,13.21,75.51267815929572,8.711147185932509,12.146495148254251,4.885689189007877,6.216828577925108,23152.52403140402,6.431256675390006,0.2679690281412502,0.0,[-0.11048088  4.33636754  8.42218861],0.5877212554158868,0.27425651178702876
18,45, 26845 ,1992 AG,17.138, MB>Inner ,944,0,2.383669593695795,0.2429066028332661,27.20156669482148,13.84,17.991562863986235,4.506031174999063,2.8732049991725868,1.222498731764585,6.261844480003122,754744.4695326611,209.6512415368503,8.735468397368763,3.3750000197603263e-40,[ 0.04557287 -0.62189961  2.53190879],0.1905631460256177,0.31608757892077516
19,47, 52317 ,1992 BC1,16.202, Mars-Crosser ,3126,199,2.378575476680525,0.3320349683118849,22.84914203551123,14.42,59.42526486071386,5.99121605770385,9.220754606073,3.880826406115664,6.444729027012065,1165956.8946360247,323.87691517667355,13.49487146569473,1.5871456587579335e-81,[ 0.10544179  2.67003547 -0.52807767],0.1181457334784046,0.0993492918430168
20,52, 11540 ,1992 PV3,16.448, MB>Inner ,3196,1,2.298892743651993,0.1608268923515982,4.17299185026542,14.65,43.97981008075738,11.397100462265898,5.297495924860762,3.2549533283589733,8.301999794726287,394076.8837182541,109.46580103284836,4.561075043035348,0.0,[-0.07688532 -8.89584684  7.59172305],0.5071692318868591,0.5927326473755006
21,53, 69315 ,1992 UR2,17.721, MB>Inner ,1282,0,2.322754336599507,0.2456230603156139,23.19075174615838,14.0,13.753032073360108,5.102249585384401,2.40963685342944,1.1582841470174805,5.707512338959514,197627.66688322707,54.89657413422974,2.287357255592906,4.575489396920251e-116,[ 0.08670357  4.12142886 -1.20515214],0.3495025916912796,0.6966951139279164
22,54, 24753 ,1992 UU5,16.782, MB>Inner ,3074,25,2.31803875697137,0.2263138096319832,3.240475275250957,14.77,34.16413257438202,8.472706052699177,3.9017380987792647,2.2998785890259463,8.756131680153247,123157.88589198476,34.210523858884656,1.425438494120194,2.57564736283596e-158,[ 0.08624715 -3.17486078  4.51769162],0.2158902652385033,0.3531567045850963
23,55, 13986 ,1992 WA4,17.096, MB>Outer ,3304,6,3.211081635297044,0.1415912065802662,6.369205309437001,13.38,23.676947422432303,5.444929603402042,3.4199255129083674,1.4327487067270426,6.923234828672334,7130.522602915085,1.980700723031968,0.0825291967929986,1.4925572229725587e-164,[-0.02009151 -1.58747741 -3.15400724],0.2094132926205161,0.3265495396621507
24,56, 12333 ,1992 WJ2,15.976, MB>Inner ,2828,321,2.327491478605605,0.1481138070719218,7.125431162875906,14.18,65.55511515510801,15.46444809865661,7.497952872465823,4.148581355174709,8.743068444167102,56746.46952968464,15.762908202690175,0.6567878417787574,0.0,[ 0.09831523 -1.02171697 17.25970628],0.616036608146902,0.5856586341983729
25,57, 21129 ,1993 BJ7,17.36, MB>Middle ,2980,0,2.606073816856023,0.0772760306067125,15.22221831219313,13.66,23.622730482793788,6.546702518637965,2.673303561848257,1.5948207870280533,8.836531256652949,1056995.745423471,293.60992928429755,12.233747053512396,9.099467226437244e-65,[-0.12939657 -1.09549995 -2.77577373],0.1004552194747441,0.27731873923642525
26,61, 16601 ,1993 FQ1,17.029, MB>Inner ,1437,1,2.394086839266055,0.0996943086100836,6.854938030727289,14.1,23.93089141362781,6.987034814404272,2.8180296753491407,1.643680807978871,8.492065084681157,5593.530503215794,1.5537584731154983,0.0647399363798124,1.0242215360559934e-31,[ 0.00507146  1.93699098 -2.57310553],0.1059763817560599,0.29396284542859286
27,63, 39578 ,1993 FV13,16.885, MB>Middle ,2850,1,2.626660570984182,0.1474515290010555,15.16839041884618,14.13,37.02277588033933,7.748708087513569,4.116699170102423,2.4042720052359545,8.993315846155989,169566.0880048817,47.10169111246714,1.962570463019464,8.351901889121297e-68,[0.00660321 3.44126124 1.0897354 ],0.1092199208079103,0.21235231848447866
