xcentroid,ycentroid,fwhm,roundness,pa,max_value,flux,mag,frame,psflike,psfdiff,xint,yint,objid,source_mask,n_detections,ra,dec,mjd,GaiaID,Type,Prob
265.81643829462735,27.155958563326557,4.338497229778728,0.16974658121546793,164.60313362759217,39.254930555239184,212.38837336043935,-5.817826846894466,0,0.97,0.25183634859998244,266,27,1,1,882,167.258540010152,15.162732745893846,58898.828832584644,3968739966951465984,RRAB,0.9929999709129332
412.15922295730957,159.7340060511914,4.711491554581221,0.13078742391786558,156.6383450470798,56.818092534714424,278.9552668749301,-6.113836414035491,0,0.92,0.45211500295708246,412,160,2,1,14,168.36802022377674,15.528930655065425,58898.828832584644,3970244713038067200,0,0.0
346.73526585940016,367.84961298146726,6.744453241869191,0.14792146935783843,24.8319159558109,6.5196401272711455,74.95391567967908,-4.68698581456372,0,0.93,0.44358246708375193,347,368,3,0,13,168.48056591916918,16.77194174170699,58898.828832584644,3971227298476786176,0,0.0
22.135384122709237,434.16640178310223,7.017807245738407,0.2111622795343905,117.00590407270371,8.987606141990568,93.72442409804296,-4.929631951306644,0,0.96,0.4586038334705738,22,434,4,1,73,166.8164341133868,17.854374652536045,58898.828832584644,0,0,0.0
466.4917821186937,478.5397737678852,5.066487246447733,0.5217810522462822,156.7139981286088,226.89673173283768,878.1598907990577,-7.358933992982069,0,0.99,0.4770017335182977,466,479,5,1,27,169.40232091383476,17.078123769828558,58898.828832584644,0,0,0.0
265.57480326510165,27.23142050116282,4.8950235601678544,0.23973954988185925,155.74984989105397,35.103261729245105,225.45050024350363,-5.88262800820774,1,0.95,0.3397679836468311,266,27,1,1,882,167.25737173678016,15.163673796764618,58898.8496661927,3968739966951465984,RRAB,0.9929999709129332
195.5743445166795,180.18497481656644,6.886430164731113,0.48147160564559904,46.078881254806916,16.078079347032258,101.93380856311225,-5.020795627758573,1,0.97,0.32093609631992775,196,180,6,0,2,167.2126927111952,16.1268576104274,58898.8496661927,0,0,0.0
21.82790420800563,434.35268049029565,7.117417654427029,0.18793692489535052,116.4971885017598,5.699031149086295,82.12011006634555,-4.786123806969671,1,0.94,0.46982949574839095,22,434,4,1,73,166.81512839589408,17.856043539665162,58898.8496661927,0,0,0.0
466.6217943985634,478.4606160187073,5.232370052323319,0.5450897142170134,155.58554177653315,205.23292978326208,796.4229762610659,-7.252859451591149,1,0.97,0.4510657053804657,467,478,5,1,27,169.40286014515047,17.07740885493342,58898.8496661927,0,0,0.0
265.5602059593246,27.383032705527327,5.133741131052479,0.330660885831197,142.7864151924782,31.636764885233674,187.77666848492143,-5.68410407395554,2,0.96,0.2723230512477685,266,27,1,1,882,167.25763093998106,15.164505012392137,58898.870499801684,3968739966951465984,RRAB,0.9929999709129332
194.89962674643925,179.91284279269928,6.953417764311609,0.5983971999559679,44.68444339291511,16.570315570538583,137.86158875250615,-5.348608197771576,2,0.91,0.4713500365316424,195,180,6,0,2,167.20832627336767,16.126941193601464,58898.870499801684,0,0,0.0
501.6928767384648,410.37530836881973,6.752864496433011,0.2745047557180328,50.61634276800715,8.022901428162413,76.56416525200564,-4.710063879867229,2,0.94,0.4716681536875841,502,410,7,0,42,169.4397563197288,16.639547322024175,58898.870499801684,0,0,0.0
466.753460600722,478.47585830238796,5.370954460536854,0.5247529604935941,156.90217424830067,179.80220512733138,738.9901907595778,-7.171596684189836,2,0.96,0.4411225110603545,467,478,5,1,27,169.40362769767071,17.07718499624108,58898.870499801684,0,0,0.0
265.2434136841388,27.79874627832303,5.4724181130313445,0.47417354546438717,132.35009508906185,28.59671677037761,172.78288744840438,-5.593751818523462,3,0.91,0.46326356593305196,265,28,1,1,882,167.25680967570287,15.167406891589387,58898.89133341206,3968739966951465984,RRAB,0.9929999709129332
501.10590966032237,409.6245780462675,6.153196912419127,0.07403348218096317,106.1425722948155,6.952938769828961,67.25593354526791,-4.569326513221169,3,0.91,0.4833515943569115,501,410,7,0,42,169.43476067541994,16.636965475163233,58898.89133341206,0,0,0.0
21.9682252786638,434.2002054437864,6.653955218898404,0.2900178585668003,117.01087660977983,6.960124957623293,65.95338502949153,-4.548092726085888,3,0.97,0.3734524672168669,22,434,4,1,73,166.8155717102071,17.854926358654442,58898.89133341206,0,0,0.0
466.85673907593423,478.37418833496986,5.514471875328188,0.5161956288826464,156.11486262120388,164.4745469650502,701.5754857650519,-7.11518601409705,3,0.96,0.46100062431366984,467,478,5,1,27,169.4039660030684,17.076413739974562,58898.89133341206,0,0,0.0
266.4351917636898,26.95420289013026,4.015865223125686,0.17288873821148867,30.2125380393105,26.478606443148124,107.89652287022125,-5.082518622768256,4,0.97,0.29574763663330544,266,27,1,1,882,167.26151244281442,15.160278107820266,58898.91216702291,3968739966951465984,RRAB,0.9929999709129332
484.5382326820988,194.3721845257025,5.990735806411487,0.1498969822583942,30.48750901076027,13.649603559123705,127.24845286883897,-5.261631276842017,4,0.89,0.4838967012439204,485,194,8,0,1,168.84730689428073,15.545593161811745,58898.91216702291,0,0,0.0
467.0063985483966,478.4001412003667,5.566518768035774,0.5092711417931851,157.00643976575293,151.00121377682422,682.0170522592135,-7.084488083303581,4,0.95,0.47575907401271006,467,478,5,1,27,169.4048584681868,17.0762045129477,58898.91216702291,0,0,0.0
266.2960982487497,26.84913503160846,4.190129689369402,0.15326892487180285,34.96293289074266,24.334229610222792,104.5179953783103,-5.047977678765111,5,0.97,0.2946569154903082,266,27,1,1,882,167.26050691691702,15.16003780802702,58898.93300063468,3968739966951465984,RRAB,0.9929999709129332
