xcentroid,ycentroid,fwhm,roundness,pa,max_value,flux,mag,frame,psflike,psfdiff,flux_sign,xint,yint,n_detections,objid,source_mask,ra,dec,mjd,GaiaID,Type,Prob
266.30782012093675,458.13093386674643,5.121449776640902,0.5139132619023057,143.11166568597758,73.61325979497485,347.83620338094914,-6.3534369553104195,14,0.99,0.17312611321528287,1,266,458,6,11,1,165.36181180635566,18.57472033412236,58899.12050317233,3983096908750637056,VRRLyr,1.0
244.42877606604523,222.09027873503868,3.103212701691062,0.04343680063470859,95.52489607583433,80.66042788070598,399.66619960831827,-6.504243552134485,15,0.97,0.22545653416642109,1,244,222,817,1,1,164.7336709843742,17.373602921430994,58899.14133679016,3982184417178537472,EB,0.9900000095367432
10.834066923693598,289.331733538314,5.43196795427357,0.07640098634375493,34.83331989208709,10.145518987803712,99.463201141931,-4.994156081336241,15,0.84,0.423729644083435,1,11,289,484,12,1,163.572502207529,18.234648289155263,58899.14133679016,0,0,0.0
330.7311108765609,299.7289025267352,2.4817755134483264,0.16840452935803948,44.93743410984967,278.9742956824941,1618.4149229135028,-8.022724685697511,15,0.92,0.4211333180646335,1,331,300,653,3,1,165.37958695680277,17.595773452032685,58899.14133679016,0,0,0.0
265.9871352725891,458.07474561615487,5.121007432354788,0.3586389621398297,141.77904306089394,55.99183973405769,430.3913561224648,-6.584658851197338,15,0.99,0.1376042008677191,1,266,458,6,11,1,165.35989780105527,18.57512706879431,58899.14133679016,3983096908750637056,VRRLyr,1.0
244.47767631856985,221.99261651638068,2.8013117326173447,0.11893541558284479,86.75398435065209,133.138220812217,622.1747260424806,-6.984780913093623,16,0.97,0.21754307213980573,1,244,222,817,1,1,164.7337350690613,17.372979327239285,58899.162170408454,3982184417178537472,EB,0.9900000095367432
330.73581963468126,299.7187707529678,2.383125703787297,0.25626263273598016,44.741983255648066,270.95510156299883,1561.0001247093066,-7.983507344396212,16,0.92,0.42184909737717285,1,331,300,653,3,1,165.37959135706745,17.59570953822168,58899.162170408454,0,0,0.0
265.0891482900885,457.81958809711676,4.996712342086487,0.4502311637091152,128.5633872460379,50.622154506704305,388.15139963734066,-6.472502891318007,16,0.99,0.17975133157082365,1,265,458,6,11,1,165.354326791234,18.575748808354692,58899.162170408454,3983096908750637056,VRRLyr,1.0
339.83162946324234,40.92545631376402,6.507125851846341,0.2614588870402851,40.54452464269746,4.4991087390724545,58.04672931891073,-4.409444385390351,17,0.91,0.4313616202533423,1,340,41,3,13,1,164.8777158019632,16.206783342662458,58899.18300402675,3983557741561289216,0,0.0
10.85191132077377,289.00824443299086,5.776124353028542,0.07784922782972427,159.8961066634476,7.769950588236611,84.19443113405401,-4.813208417355618,17,0.88,0.39634930410657265,1,11,289,484,12,1,163.57192176799094,18.232893646614137,58899.18300402675,0,0,0.0
386.8193151321105,365.70996378255194,5.446171827102191,0.024888868109687743,17.98709215568644,9.657511359085788,97.49730758092932,-4.972481556710687,17,0.91,0.4795294234578339,1,387,366,5,14,1,165.83376154651495,17.821025808744242,58899.18300402675,0,0,0.0
264.6480320824334,457.8715673773292,4.65537736960712,0.5388628168284761,128.42446712025162,63.27061996589822,340.6514106651108,-6.330775479319504,17,0.99,0.23582714152904258,1,265,458,6,11,1,165.35197321454532,18.57699154724771,58899.18300402675,3983096908750637056,VRRLyr,1.0
244.54017769368824,222.00389323888595,2.6216735688507136,0.14472999175632878,58.93460526421381,172.05627477315898,820.7887864177371,-7.2855785362378045,18,0.96,0.2519177151373589,1,245,222,817,1,1,164.73410661935412,17.372902963404346,58899.20383764551,3982184417178537472,EB,0.9900000095367432
330.73527153041834,299.69193657361944,2.520554634034831,0.23392448449485534,41.35505584901189,259.01483236987616,1508.1804292189831,-7.946133252254112,18,0.91,0.42408929923177785,1,331,300,653,3,1,165.37953063071407,17.595568840348776,58899.20383764551,0,0,0.0
263.8742462112936,457.4406555117614,4.752508006400768,0.5314722986053131,111.27970050456116,78.81483723576594,409.82958955000015,-6.53150827775916,18,0.99,0.1883431619497046,1,264,457,6,11,1,165.3467167480902,18.576411422279797,58899.20383764551,3983096908750637056,VRRLyr,1.0
462.3617255252318,390.28416604696434,7.339733015829408,0.43222887546065575,114.12710691546529,8.12200926908531,84.03997069061757,-4.811214730678634,19,0.92,0.47084738488540473,1,462,390,1,15,0,166.3068085907307,17.78348485895308,58899.224671264274,3982263066619635200,RRAB,0.9950000047683716
263.20480274724383,457.5095304132918,4.48987574006767,0.47824049308820865,102.26111337826617,81.50256386153615,434.90480782523053,-6.595985521925045,19,0.92,0.3390504533202715,1,263,458,6,11,1,165.34312319622958,18.578244349531236,58899.224671264274,3983096908750637056,VRRLyr,1.0
244.4201414192988,221.99371353300896,2.8879820747716973,0.10163239665777066,93.90475309747339,133.381834006011,664.2490667968043,-7.055827382356585,20,0.97,0.21090473799535175,1,244,222,817,1,1,164.7334174682249,17.373110397878694,58899.245504883496,3982184417178537472,EB,0.9900000095367432
98.58779569612813,142.8150500947245,6.894001743784568,0.2075372396521892,162.8933405101754,4.739865089005008,70.53696513184391,-4.6210419252989325,21,0.94,0.402390172033766,1,99,143,2,16,1,163.7546752857284,17.268984424728988,58899.266338502726,0,0,0.0
