,ID in Cut,Num,Name,RA,Dec,Mv,MJD,FrameIDs,X,Y,Flux,Flux Error,COM Flux,COM Flux Error,COM X,COM Y
2784,34682,5254,Ulysses,356.0039574727667,-34.499817423616655,16.3,59091.25899938056,505.0,294,26,45.2953136520622,10.094689143266608,57.1483693796233,12.103761154677104,294.398575973308,25.29270742330196
2785,18677,5254,Ulysses,354.35945704395704,-35.1914700461715,16.2,59103.154206069215,2060.0,498,6,11.996230161049626,0.7736195123638746,57.14480022207558,1.1105727064170352,499.30276223983134,4.933699013981421
2786,29582,5254,Ulysses,353.1188460453717,-35.47503795991278,16.3,59111.675385335766,3283.0,348,32,29.115691931467552,2.3853411970250766,57.14376947378037,2.6363102969419074,349.14403782479087,31.98094144904438
2787,36084,5254,Ulysses,354.34951564567024,-35.19427597519204,16.2,59103.2172541956,2069.0,24,10,9.46226928148995,0.7942503698115385,57.133389627482565,1.580573764890447,22.84251547677457,8.592060747117277
2788,35608,5254,Ulysses,355.1239457583401,-34.899590053219335,16.3,59097.814527728726,1444.0,148,13,38.12339987136694,4.987173004553188,57.11540951541728,7.353208580904886,147.6300418225492,12.048813878469296
2789,28915,5254,Ulysses,353.7961069109078,-35.335172365539734,16.2,59106.87690098044,2596.0,449,17,32.52777005785711,5.582178018388298,57.08138785373335,10.269364518241826,450.0036846139779,16.598320128940134
2790,34512,5254,Ulysses,356.1662996259665,-34.419888246325336,16.3,59090.07844225704,335.0,321,29,34.8892624854776,6.216236311947406,57.07834477567256,12.092478792295998,322.0037157077675,28.380738222724467
2791,28580,5254,Ulysses,354.1595711193912,-35.24547024885548,16.2,59104.4463980676,2246.0,504,11,30.50541677534041,1.038708511970351,57.074339557025965,1.5582436634228285,505.07518083636353,10.655069110359072
2792,29171,5254,Ulysses,353.53490099515534,-35.39311266942822,16.2,59108.6824119713,2852.0,410,22,40.91818103711955,0.810974516492357,57.066341237873694,1.140409004681778,410.73738422324976,21.86670224512646
2793,35028,5254,Ulysses,355.6768549024139,-34.65472783470176,16.3,59093.668718090215,851.0,239,20,47.47526032114828,8.443953663591643,57.0535845643153,9.776631401886512,239.37711183733387,19.330724361688144
2794,35438,5254,Ulysses,355.29184119780706,-34.827050448879085,16.3,59096.54370368362,1261.0,175,15,41.18910671502236,7.794319006199962,57.05050696702801,10.878110746392606,175.19341863799318,14.24569804817628
2795,29327,5254,Ulysses,353.3817282107941,-35.42463555976721,16.3,59109.7657166173,3008.0,387,26,29.36598346404356,4.40227774971402,57.04618846640424,11.71045852657311,388.1704816067279,25.54383958419
2796,21281,5254,Ulysses,354.2609577152025,-35.218555835781466,16.2,59103.7861399516,2151.0,4,3,44.64867542370643,10.067023670211436,57.03238579403978,13.374924436167689,3.238066582563305,2.636953137616594
2797,35192,5254,Ulysses,355.5198997603207,-34.72619628855059,16.3,59094.83538014414,1015.0,213,18,43.266152174974856,7.962274052232284,57.03212150801671,11.09942842220017,213.2406380877556,17.087553559357005
2798,29328,5254,Ulysses,353.3807591456443,-35.4248273446886,16.3,59109.77266087339,3009.0,387,26,28.91825883854245,4.422356470982761,57.02887574358648,13.315211974771769,388.1898359494469,25.506037002185803
2799,29743,5254,Ulysses,352.9658896596743,-35.50310316811116,16.3,59112.82118546882,3448.0,326,36,35.96245715966684,1.8085954025634896,57.02698900492891,3.1994807877257068,326.8827795770527,35.566157841527165
2800,18487,5254,Ulysses,354.7230984562578,-35.07402382991825,16.2,59100.86256572376,1870.0,441,9,6.920704660262832,0.2802562129815406,57.026129403329726,4.070355327689956,441.98041947024615,7.595527833436645
2801,18413,5254,Ulysses,354.7939803853349,-35.043030885011184,16.2,59100.34867987579,1796.0,429,8,14.709423388041587,0.8028602221020917,57.00747752412078,4.067391627032912,430.0858469314652,7.069697464556041
2802,34587,5254,Ulysses,356.09444875977266,-34.4554944599253,16.3,59090.59927657624,410.0,309,28,28.40948490800167,4.188349835323103,56.971759542225485,8.750435962903568,309.770465253241,27.05172414441838
2803,34949,5254,Ulysses,355.7509682135259,-34.62033096002175,16.3,59093.120108512936,772.0,251,21,46.12237326422967,3.55188670897386,56.9593365141342,4.627675215348087,251.58617852485435,20.57665077051097
2804,35441,5254,Ulysses,355.2890738900061,-34.8282566560548,16.3,59096.56453687702,1264.0,175,15,34.57035563409415,6.920550938719357,56.95720815565813,11.386126293703269,174.8477976199218,14.036377528377242
2805,35118,5254,Ulysses,355.5926583447747,-34.69329706890898,16.3,59094.293715837615,941.0,225,19,46.18245385221883,6.903779070289724,56.93554248510797,4.0758796470924485,225.22544760152496,18.26484551119552
2806,29003,5254,Ulysses,353.7069095192115,-35.35554819637039,16.2,59107.48799748686,2684.0,436,18,45.93440850278152,8.055549341153192,56.9251074605013,10.729512323148926,436.7156426547752,18.383808738737805
2807,35921,5254,Ulysses,354.5377179649133,-35.13948860670792,16.2,59102.03671697905,1899.0,53,8,8.759498149710032,1.1525574420401905,56.89337712320632,10.636780550757932,51.85089554206599,6.578684400575305
2808,17958,5254,Ulysses,355.2182989584529,-34.858956160653904,16.3,59097.09870694051,1341.0,360,4,13.573014661538004,0.1631465055903683,56.88448913032151,1.762548479094835,360.7271891396738,2.602672549426553
2809,29255,5254,Ulysses,353.4520749936414,-35.41038018980382,16.2,59109.26573002661,2936.0,398,24,43.92167423626757,3.630092106135901,56.86966196369211,5.591362371037892,398.75627895620494,23.87140498502633
2810,28581,5254,Ulysses,354.1585119736417,-35.245746670865536,16.2,59104.453342374894,2247.0,504,11,35.028545965858605,1.303400428340607,56.867971527003256,1.6619651433887843,504.9713458294499,10.660386536447632
2811,35200,5254,Ulysses,355.51245289750483,-34.72953438999663,16.3,59094.89093543611,1023.0,212,18,37.5594157663012,6.391117413589982,56.866904490532974,10.031878899168756,211.9086804037206,17.012081188378502
2812,29485,5254,Ulysses,353.2133835454019,-35.45734783423844,16.3,59110.98096071375,3183.0,362,30,25.093785178565064,3.5132550378643628,56.8555204679629,11.298912214549276,363.2755338669029,29.64458213841792
2813,18236,5254,Ulysses,354.9654002086913,-34.96768894248585,16.3,59099.029246236925,1619.0,401,6,9.341495523329057,1.0219150359595994,56.83406994670099,10.482804865408916,402.1742823586131,4.725436094752152
